id;kiindulo_varos;celvaros_city;tavolsag;alpakaszam;szallas
;Biatorbágy;Bonyhád;163.0;4;helyben
;Biatorbágy;Bonnya;146.0;7;helyben
;Biatorbágy;Felsőrajk;203.0;2;Otthon
;Biatorbágy;Gadács;158.0;1;Igal
;Biatorbágy;Görcsöny;238.0;2;Ócsárd
;Biatorbágy;Gyenesdiás;187.0;4;helyben
;Biatorbágy;Gyúró;30.6;3;Tordas
;Biatorbágy;Isaszeg;68.3;2;helyben
;Biatorbágy;Jászberény;110.0;9;helyben
;Biatorbágy;Kisbágyon;99.0;5;helyben
;Biatorbágy;Komló;200.0;3;helyben
;Biatorbágy;Kosd;66.6;3;helyben
;Biatorbágy;Magyarbóly;219.0;2;helyben
;Biatorbágy;Mozsgó;214.0;2;helyben
;Biatorbágy;Nagyvázsony;129.0;5;helyben
;Biatorbágy;Nőtincs Seholsziget;80.4;11;helyben
;Biatorbágy;Pap;311.0;9;helyben
;Biatorbágy;Pécs;201.0;6;helyben
;Biatorbágy;Pér;106.0;11;Pannonhalma
;Biatorbágy;Szaknyér;249.0;12;helyben
;Biatorbágy;Szerecseny;132.0;4;Pápa
;Biatorbágy;Újudvar;211.0;0;Otthon
;Biatorbágy;Vése;203.0;13;helyben
;Bonyhád;Biatorbágy;166.0;8;helyben
;Bonyhád;Bonnya;82.2;7;helyben
;Bonyhád;Felsőrajk;190.0;2;Otthon
;Bonyhád;Gadács;72.2;1;Igal
;Bonyhád;Görcsöny;57.6;2;Ócsárd
;Bonyhád;Gyenesdiás;174.0;4;helyben
;Bonyhád;Gyúró;146.0;3;Tordas
;Bonyhád;Isaszeg;199.0;2;helyben
;Bonyhád;Jászberény;241.0;9;helyben
;Bonyhád;Kisbágyon;252.0;5;helyben
;Bonyhád;Komló;36.1;3;helyben
;Bonyhád;Kosd;237.0;3;helyben
;Bonyhád;Magyarbóly;62.8;2;helyben
;Bonyhád;Mozsgó;81.7;2;helyben
;Bonyhád;Nagyvázsony;154.0;5;helyben
;Bonyhád;Nőtincs Seholsziget;250.0;11;helyben
;Bonyhád;Pap;193.0;9;helyben
;Bonyhád;Pécs;39.6;6;helyben
;Bonyhád;Pér;210.0;11;Pannonhalma
;Bonyhád;Szaknyér;242.0;12;helyben
;Bonyhád;Szerecseny;294.0;4;Pápa
;Bonyhád;Újudvar;160.0;0;Otthon
;Bonyhád;Vése;115.0;13;helyben
;Bonnya;Biatorbágy;148.0;8;helyben
;Bonnya;Bonyhád;82.0;7;helyben
;Bonnya;Felsőrajk;111.0;2;Otthon
;Bonnya;Gadács;18.6;1;Igal
;Bonnya;Görcsöny;106.0;2;Ócsárd
;Bonnya;Gyenesdiás;94.8;4;helyben
;Bonnya;Gyúró;130.0;3;Tordas
;Bonnya;Isaszeg;196.0;2;helyben
;Bonnya;Jászberény;238.0;9;helyben
;Bonnya;Kisbágyon;249.0;5;helyben
;Bonnya;Komló;70.0;3;helyben
;Bonnya;Kosd;200.0;3;helyben
;Bonnya;Magyarbóly;129.0;2;helyben
;Bonnya;Mozsgó;68.7;2;helyben
;Bonnya;Nagyvázsony;117.0;5;helyben
;Bonnya;Nőtincs Seholsziget;212.0;11;helyben
;Bonnya;Pap;113.0;9;helyben
;Bonnya;Pécs;86.5;6;helyben
;Bonnya;Pér;92.5;11;Pannonhalma
;Bonnya;Szaknyér;162.0;12;helyben
;Bonnya;Szerecseny;171.0;4;Pápa
;Bonnya;Újudvar;119.0;0;Otthon
;Bonnya;Vése;77.4;13;helyben
;Felsőrajk;Biatorbágy;206.0;8;helyben
;Felsőrajk;Bonyhád;191.0;4;helyben
;Felsőrajk;Bonnya;112.0;7;helyben
;Felsőrajk;Gadács;123.0;1;Igal
;Felsőrajk;Görcsöny;164.0;2;Ócsárd
;Felsőrajk;Gyenesdiás;32.3;4;helyben
;Felsőrajk;Gyúró;188.0;3;Tordás
;Felsőrajk;Isaszeg;254.0;2;helyben
;Felsőrajk;Jászberény;296.0;9;helyben
;Felsőrajk;Kisbágyon;307.0;5;helyben
;Felsőrajk;Komló;180.0;3;helyben
;Felsőrajk;Kosd;256.0;3;helyben
;Felsőrajk;Magyarbóly;234.0;2;helyben
;Felsőrajk;Mozsgó;143.0;2;helyben
;Felsőrajk;Nagyvázsony;83.9;5;helyben
;Felsőrajk;Nőtincs Seholsziget;270.0;11;helyben
;Felsőrajk;Pap;50.9;9;helyben
;Felsőrajk;Pécs;191.0;6;helyben
;Felsőrajk;Pér;161.0;11;Pannonhalma
;Felsőrajk;Szaknyér;64.4;12;helyben
;Felsőrajk;Szerecseny;126.0;4;Pápa
;Felsőrajk;Újudvar;16.9;1;Otthon
;Felsőrajk;Vése;50.3;13;helyben
;Gadács;Biatorbágy;159.0;8;helyben
;Gadács;Bonyhád;70.9;4;Igal
;Gadács;Bonnya;18.6;7;helyben
;Gadács;Felsőrajk;129.0;2;Otthon
;Gadács;Görcsöny;89.4;2;Ócsárd
;Gadács;Gyenesdiás;113.0;4;helyben
;Gadács;Gyúró;141.0;3;Tordas
;Gadács;Isaszeg;207.0;2;helyben
;Gadács;Jászberény;249.0;9;helyben
;Gadács;Kisbágyon;260.0;5;helyben
;Gadács;Komló;54.9;3;helyben
;Gadács;Kosd;209.0;3;helyben
;Gadács;Magyarbóly;114.0;2;helyben
;Gadács;Mozsgó;64.9;2;helyben
;Gadács;Nagyvázsony;128.0;5;helyben
;Gadács;Nőtincs Seholsziget;223.0;11;helyben
;Gadács;Pap;146.0;9;helyben
;Gadács;Pécs;71.5;6;helyben
;Gadács;Pér;179.0;11;Pannonhalma
;Gadács;Szaknyér;180.0;12;helyben
;Gadács;Szerecseny;183.0;4;Pápa
;Gadács;Újudvar;137.0;0;Otthon
;Gadács;Vése;73.6;13;helyben
;Görcsöny;Biatorbágy;241.0;8;helyben
;Görcsöny;Bonyhád;59.3;4;helyben
;Görcsöny;Bonnya;106.0;7;helyben
;Görcsöny;Felsőrajk;154.0;2;Otthon
;Görcsöny;Gadács;91.1;1;Igal
;Görcsöny;Gyenesdiás;151.0;4;helyben
;Görcsöny;Gyúró;222.0;3;Tordás
;Görcsöny;Isaszeg;274.0;2;helyben
;Görcsöny;Jászberény;316.0;9;helyben
;Görcsöny;Kisbágyon;354.0;5;helyben
;Görcsöny;Komló;38.5;3;helyben
;Görcsöny;Kosd;311.0;3;helyben
;Görcsöny;Magyarbóly;40.6;2;helyben
;Görcsöny;Mozsgó;41.7;2;helyben
;Görcsöny;Nagyvázsony;222.0;6;helyben
;Görcsöny;Nőtincs Seholsziget;325.0;11;helyben
;Görcsöny;Pap;180.0;9;helyben
;Görcsöny;Pécs;18.2;6;helyben
;Görcsöny;Pér;286.0;11;Pannonhalma
;Görcsöny;Szaknyér;233.0;12;helyben
;Görcsöny;Szerecseny;277.0;4;Pápa
;Görcsöny;Újudvar;152.0;0;Otthon
;Görcsöny;Vése;104.1;13;helyben
;Gyenesdiás;Biatorbágy;190.0;8;helyben
